Player Name,Team/Club,League,Position,Jersey Number,Age,Height,Weight,Nationality,Matches Played,Minutes Played,Goals,Assists,Shots,Shots on Target,Pass Completion %,Yellow Cards,Red Cards,Clean Sheets,Saves,Profile URL,Date Scraped
John Ruddy,Manchester United,Premier League,John Ruddy26,38.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/42359/john-ruddy,2025-09-28 21:26:56
Max Thompson,Manchester United,Premier League,Max Thompson31,21.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/326220/max-thompson,2025-09-28 21:26:56
Name,Arsenal,Premier League,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:26:57
Aaron Ramsdale,Manchester United,Premier League,Aaron Ramsdale32,27.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/236015/aaron-ramsdale,2025-09-28 21:26:56
Robert Sánchez,Arsenal,Premier League,G,27.0,,,,,2.0,,0.0,1.0,,,,,,,,https://www.espn.com/soccer/player/_/id/108662/robert-sanchez,2025-09-28 21:26:57
Filip Jørgensen,Arsenal,Premier League,Filip Jørgensen12,23.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/304256/filip-jørgensen,2025-09-28 21:26:57
Ted Curd,Arsenal,Premier League,Ted Curd35,19.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/349214/ted-curd,2025-09-28 21:26:57
Name,Chelsea,Premier League,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:26:57
Gaga Slonina,Arsenal,Premier League,Gaga Slonina44,21.0,21.0,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/286774/gaga-slonina,2025-09-28 21:26:57
Antonin Kinsky,Chelsea,Premier League,G,22.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/324393/antonin-kinsky,2025-09-28 21:26:57
Guglielmo Vicario,Chelsea,Premier League,Guglielmo Vicario1,28.0,,,,,1.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/204082/guglielmo-vicario,2025-09-28 21:26:57
Name,Tottenham,Premier League,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:26:57
Brandon Austin,Chelsea,Premier League,Brandon Austin40,26.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/259942/brandon-austin,2025-09-28 21:26:57
Jordan Pickford,Tottenham,Premier League,Jordan Pickford1,31.0,,,,,1.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/159443/jordan-pickford,2025-09-28 21:26:57
Mark Travers,Tottenham,Premier League,Mark Travers12,26.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/7441/mark-travers,2025-09-28 21:26:57
Tom King,Tottenham,Premier League,Tom King31,30.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/148515/tom-king,2025-09-28 21:26:57
Name,Brighton,Premier League,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:26:59
Harry Tyrer,Tottenham,Premier League,G,23.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/293346/harry-tyrer,2025-09-28 21:26:57
Dean Henderson,Brighton,Premier League,Dean Henderson1,28.0,,,,,2.0,,1.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/234172/dean-henderson,2025-09-28 21:26:59
Remi Matthews,Brighton,Premier League,Remi Matthews31,31.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/205981/remi-matthews,2025-09-28 21:26:59
Name,West Ham,Premier League,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:01
Walter Benítez,Brighton,Premier League,G,32.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/195738/walter-benitez,2025-09-28 21:26:59
Vladan Kovacevic,West Ham,Premier League,Vladan Kovacevic1,27.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/257938/vladan-kovacevic,2025-09-28 21:27:01
George Long,West Ham,Premier League,George Long12,31.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/154693/george-long,2025-09-28 21:27:01
Louie Moulden,West Ham,Premier League,Louie Moulden31,23.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/283794/louie-moulden,2025-09-28 21:27:01
Daniel Grimshaw,West Ham,Premier League,Daniel Grimshaw32,27.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/259837/daniel-grimshaw,2025-09-28 21:27:01
Name,Real Madrid,La Liga,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:02
Daniel Barden,West Ham,Premier League,Daniel Barden38,24.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/306878/daniel-barden,2025-09-28 21:27:01
Thibaut Courtois,Real Madrid,La Liga,G,33.0,,,,,1.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/134283/thibaut-courtois,2025-09-28 21:27:02
Andriy Lunin,Real Madrid,La Liga,Andriy Lunin13,26.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/257237/andriy-lunin,2025-09-28 21:27:02
Fran González,Real Madrid,La Liga,Fran González26,20.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/362874/fran-gonzalez,2025-09-28 21:27:02
Name,Barcelona,La Liga,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:03
Sergio Mestre,Real Madrid,La Liga,Sergio Mestre43,20.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/350351/sergio-mestre,2025-09-28 21:27:02
Marc-André ter Stegen,Barcelona,La Liga,Marc-André ter Stegen1,33.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/140740/marc-andre-ter-stegen,2025-09-28 21:27:03
Joan García,Barcelona,La Liga,Joan García13,24.0,,,,,1.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/297362/joan-garcia,2025-09-28 21:27:03
Wojciech Szczesny,Barcelona,La Liga,G,35.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/131634/wojciech-szczesny,2025-09-28 21:27:03
Diego Kochen,Barcelona,La Liga,Diego Kochen31,19.0,21.0,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/368359/diego-kochen,2025-09-28 21:27:03
Name,Sevilla,La Liga,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:05
Eder Aller,Barcelona,La Liga,Eder Aller33,18.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/403587/eder-aller,2025-09-28 21:27:03
Álvaro Valles,Sevilla,La Liga,G,28.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/283892/alvaro-valles,2025-09-28 21:27:05
Pau López,Sevilla,La Liga,G,30.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/203061/pau-lopez,2025-09-28 21:27:05
Adrián,Sevilla,La Liga,Adrián13,38.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/134230/adrian,2025-09-28 21:27:05
Germán García,Sevilla,La Liga,Germán García30,21.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/351801/german-garcia,2025-09-28 21:27:05
Name,Valencia,La Liga,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:06
Manu González,Sevilla,La Liga,Manu González41,18.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/390091/manu-gonzalez,2025-09-28 21:27:05
Stole Dimitrievski,Valencia,La Liga,Stole Dimitrievski1,31.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/165334/stole-dimitrievski,2025-09-28 21:27:06
Cristian Rivero,Valencia,La Liga,G,27.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/76884/cristian-rivero,2025-09-28 21:27:06
Name,Real Sociedad,La Liga,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:06
Julen Agirrezabala,Valencia,La Liga,Julen Agirrezabala25,24.0,,,,,0.0,,1.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/323970/julen-agirrezabala,2025-09-28 21:27:06
